NEW RUN - Noise Mode:none, Dupes:True2025-05-13 09:22:39,662 | INFO | __main__ | Experiment started.
2025-05-13 09:22:40,933 | INFO | __main__ | Using cuda device
2025-05-13 09:22:40,933 | INFO | __main__ | True
2025-05-13 09:22:40,933 | INFO | __main__ | 

=== Training with noise_mode = 'none' ===
2025-05-13 09:22:42,919 | INFO | vqa_data | DUPES IS : True
2025-05-13 09:22:42,924 | INFO | vqa_data | NO DUPES: 940
2025-05-13 09:23:05,607 | INFO | model | The accuracy of the model is 0.488
2025-05-13 09:23:05,613 | INFO | model | Starting training run: 1
2025-05-13 09:24:35,322 | INFO | model | Epoch 1/30, Average Loss: 5.5423
2025-05-13 09:26:04,900 | INFO | model | Epoch 2/30, Average Loss: 3.6746
2025-05-13 09:27:34,091 | INFO | model | Epoch 3/30, Average Loss: 2.8847
2025-05-13 09:29:08,141 | INFO | model | Epoch 4/30, Average Loss: 2.4038
2025-05-13 09:30:37,049 | INFO | model | Epoch 5/30, Average Loss: 2.0462
2025-05-13 09:32:05,983 | INFO | model | Epoch 6/30, Average Loss: 1.7469
2025-05-13 09:33:34,732 | INFO | model | Epoch 7/30, Average Loss: 1.4682
2025-05-13 09:35:03,732 | INFO | model | Epoch 8/30, Average Loss: 1.1800
2025-05-13 09:36:32,413 | INFO | model | Epoch 9/30, Average Loss: 1.0218
2025-05-13 09:38:00,876 | INFO | model | Epoch 10/30, Average Loss: 0.8916
2025-05-13 09:39:34,654 | INFO | model | Epoch 11/30, Average Loss: 0.8431
2025-05-13 09:41:03,588 | INFO | model | Epoch 12/30, Average Loss: 0.7360
2025-05-13 09:42:32,003 | INFO | model | Epoch 13/30, Average Loss: 0.7140
2025-05-13 09:44:00,139 | INFO | model | Epoch 14/30, Average Loss: 0.6171
2025-05-13 09:45:28,756 | INFO | model | Epoch 15/30, Average Loss: 0.6252
2025-05-13 09:46:57,091 | INFO | model | Epoch 16/30, Average Loss: 0.5806
2025-05-13 09:48:30,192 | INFO | model | Epoch 17/30, Average Loss: 0.5272
2025-05-13 09:49:58,855 | INFO | model | Epoch 18/30, Average Loss: 0.5380
2025-05-13 09:51:27,840 | INFO | model | Epoch 19/30, Average Loss: 0.5197
2025-05-13 09:52:56,370 | INFO | model | Epoch 20/30, Average Loss: 0.4784
2025-05-13 09:54:24,800 | INFO | model | Epoch 21/30, Average Loss: 0.5118
2025-05-13 09:55:53,429 | INFO | model | Epoch 22/30, Average Loss: 0.5480
2025-05-13 09:57:22,304 | INFO | model | Epoch 23/30, Average Loss: 0.4855
2025-05-13 09:58:55,280 | INFO | model | Epoch 24/30, Average Loss: 0.4531
2025-05-13 10:00:23,814 | INFO | model | Epoch 25/30, Average Loss: 0.4488
2025-05-13 10:01:52,100 | INFO | model | Epoch 26/30, Average Loss: 0.4341
2025-05-13 10:03:20,849 | INFO | model | Epoch 27/30, Average Loss: 0.4064
2025-05-13 10:04:49,144 | INFO | model | Epoch 28/30, Average Loss: 0.4288
2025-05-13 10:06:17,740 | INFO | model | Epoch 29/30, Average Loss: 0.3846
2025-05-13 10:07:46,129 | INFO | model | Epoch 30/30, Average Loss: 0.3802
2025-05-13 10:08:08,733 | INFO | model | The accuracy of the model is 0.56
