Model-Name, Accuracy
clip_none_NoDupes.pth, 0.5925925925925926
clip_text_NoDupes.pth, 0.5370370370370371
clip_image_NoDupes.pth, 0.5740740740740741
clip_both_NoDupes.pth, 0.48148148148148145
models/clip_none_Dupes.pth,0.592
models/clip_text_Dupes.pth,0.536
no-training_dupesFalse,0.5555555555555556
models/clip_none_NoDupes.pth,0.5370370370370371
no-training_dupesFalse,0.5925925925925926
models/clip_text_NoDupes.pth,0.6296296296296297
no-training_dupesFalse,0.5185185185185185
models/clip_image_NoDupes.pth,0.42592592592592593
no-training_dupesFalse,0.46296296296296297
models/clip_both_NoDupes.pth,0.46296296296296297
overnightrun, overnightrun
no-training_dupesFalse,0.5740740740740741
no-training_dupesFalse,0.48148148148148145
models/clip_none_NoDupes.pth,0.5185185185185185
no-training_dupesFalse,0.46296296296296297
models/clip_text_NoDupes.pth,0.4444444444444444
no-training_dupesFalse,0.3333333333333333
models/clip_image_NoDupes.pth,0.5740740740740741
no-training_dupesFalse,0.5185185185185185
models/clip_both_NoDupes.pth,0.48148148148148145
new-setting,new-setting
no-training_dupesFalse,0.42592592592592593
models/clip_none_NoDupes.pth,0.5370370370370371
no-training_dupesFalse,0.4074074074074074
models/clip_text_NoDupes.pth,0.5925925925925926
no-training_dupesFalse,0.42592592592592593
models/clip_image_NoDupes.pth,0.5
no-training_dupesFalse,0.46296296296296297
